userName,score,at,label,content
Sena Herlangga,5,9/10/2024 8:49,positif,mantapp
Holifah Eden Primadini (olif),1,9/10/2024 7:14,negatif,kena zonk bgt udh seneng dpt kesempatan wawancara jd admin . knp malah jd ngerjain tugas2 untuk nambah saldo .. awalnya iya ngerjain tugas tanpa tf tp knp kesininya harus tf saldo .. niat cari kerja malah d suruh tf uang.. cape deh.. dimana jd admin nya ?!?!
Novan putra Nusantara,5,9/10/2024 4:10,positif,sangat membantu
Mansur Albanteni,4,9/10/2024 3:05,netral,"diaplikasi ini mudah melihat lowongan kerja,alamat perusahaan yg dituju dll, hanya sedikit kekurangan nya ketika meng uplowad Cv mengalamu kendala"
ANISA r a,5,9/10/2024 3:01,positif,good tambahkan freelance dong yang remot dari rumah
Jami Ilham,5,9/10/2024 2:34,positif,Ok
Dini Anggreni,1,9/10/2024 2:14,negatif,"Ini mah aplikasi gak jelas jangan mau download lamaran saya padahal sesiluai tapi ,diketerangan nya tidak sesuai terus , terus banyak penipuannya juga tolong lah hapus aplikasi gak jelas ini"
HabibAl Official,5,9/10/2024 1:57,netral,No komen ya
Dian Parulian,5,9/10/2024 1:55,netral,👍🏼
Hendrika saputra,1,9/9/2024 15:13,negatif,belum puas
Abdul Lathif Lazuaprima,5,9/9/2024 10:34,positif,bagus
rispan tirtawijaya,5,9/9/2024 9:34,positif,apk sangat membantu dan sangat rekomen untuk pencaker
Dermawan Mawan,4,9/9/2024 9:16,netral,👍👍👍
Sopyan Afandi,5,9/9/2024 7:38,positif,bagus
Mario Teguh,5,9/9/2024 6:57,positif,mantul
oktavia sridjatiwibowo,2,9/9/2024 6:27,negatif,mohon diperbarui kembali dan tolong disampaikan ke para recruiter jika melalukan recruitment mohon para kandidat diberi pemberitahuan apabila tidak lolos
Arlent Pramudya Qudrattullah,5,9/9/2024 6:19,positif,"ini aplikasi terbaik, lowongannya asli dan real semua. bisa kontak langsung sama HRD nya, terima kasih Glints."
Sartono G S,5,9/9/2024 6:02,positif,Sangat membantu tuk para pencari kerja👍👍👍
Bondan Wijoseno,4,9/9/2024 4:42,positif,lumayan membantu
Riandy Ahmad Septianto,1,9/9/2024 2:39,negatif,Kenapa dengan aplikasi ini saya sudah banyak banget melamar cuman gk ada panggilan sama sekali saya mohon di respon dengan cepat🙏
Aris Mustakim,4,9/9/2024 0:53,positif,sangat membantu
Muhajir Ajid,1,9/8/2024 19:23,negatif,Taii😡😡
Amalia Siska Kurniawati,1,9/8/2024 12:47,negatif,banyak penipuan
KeKet Channel,5,9/8/2024 12:11,netral,"Semoga bisa dapat langsung kerja setelah gabung dengan Giants, amin..."
Abdur Rosyid,5,9/8/2024 11:54,positif,Thanks glints
anindira mahess,5,9/8/2024 11:47,positif,baru nyoba tadi pagi make glints keliatan nya baguss smoga cepet dapet kerjaany di aplikasi glins
Arin Arin,5,9/8/2024 10:09,positif,sangat bermanfaat
Jay Licha,5,9/8/2024 2:05,netral,semoga ada yg jodoh aamiin
Rubin Aphin,1,9/7/2024 15:48,negatif,lowongan bnyak tpi bnyk yg kadarluasa dan lowo zonk atau permainan app... saya pre uninstall bye2
Gyo Pangestu,5,9/7/2024 14:19,netral,Belum dpt krja
Sigit Yoga,5,9/7/2024 12:40,positif,nice apl
rihsan cahya,5,9/7/2024 12:29,positif,bagus
Muhammad Mullya mudaini,5,9/7/2024 10:46,positif,Cakeeeppp
Hendra Ahmad,5,9/7/2024 10:25,positif,baik
Bayu Santoso,5,9/7/2024 9:56,positif,Bagus bgt
Asik Piknik,5,9/7/2024 8:22,positif,top fc
leonardus aldo,5,9/7/2024 7:54,positif,keren
Efin Yan,3,9/7/2024 7:48,negatif,"Admin, tolong di saring lagi perihal Job kerja dirumah, saya mendapat panggilan interview job freelance yg disana tertera loker virtual asisten, ternyata kerjanya seperti yg sering iklan di sosmed dengan sistem komisi, Alhamdulillah saya tidak lanjut, dikarena saya pernah menemukan job seperti itu, tolong di saring lagi, kasihan yg benar-benar mencari job part time tapi malah kena job komisi. Maaf bintang saya 3 saja."
Fathur Rohman,5,9/7/2024 7:12,positif,"alhamdulilah yaa allah, semenjak dowlond aplikasi ini, saya jadi senang bercampur bahagia, karena dulu saya belum dapat pekerjaan, selepas masuk ke akun maa syaa allah banget✨️🙏🏻 terus berikhtiar sampai Allah mengabulkan doa² yang kita impikan✨️🕊 Aameen👑"
Agung Harto,5,9/7/2024 6:27,positif,bagus
Alfarizi Kholik,5,9/7/2024 3:19,positif,apk rekomen cepet respon HRD nya
Rony Faisol,5,9/6/2024 17:35,positif,ok banget diskripsi pekerjaan yang ditawarkan.
Armin Ali,5,9/6/2024 17:22,positif,bagus
IKHLAS PENDINGIN SOLUTIONS _IPS,5,9/6/2024 14:21,positif,bagus
Dhany Ramadhan,5,9/6/2024 13:49,netral,dicoba aj dlu doain saya dpt kerjaan yg bener bg
Ani Afrida,3,9/6/2024 12:59,netral,kasih bintang 2 dulu karena baru menggunakan
Boby Jumbo,2,9/6/2024 10:57,negatif,kurang kuas
Titik Suraini,5,9/6/2024 10:11,positif,Bagus
Gad 0806,5,9/6/2024 9:31,positif,nice
Titi aprilya,1,9/6/2024 7:36,negatif,"Banyak scam, pilhan kerja remote tp ujung2 nya di suruh top up utk meningkatkan mendapatan.. kocag. Lebih baik apl jobstreet gais, jelas."
Sukirman Man,5,9/6/2024 7:16,negatif,hrs lebih baik lg
ira rahmah,5,9/6/2024 5:24,positif,baguuus
Afri andi,1,9/6/2024 4:18,negatif,scam aplikasi tidak jelas
Radhit Bariq Bayanaka,5,9/6/2024 3:13,positif,sangat bagus
Ali F syukri,5,9/6/2024 2:59,negatif,chat jarang di balas
hery eses,5,9/6/2024 2:25,positif,Udah aku beri lima bintang moga cepat dapet kerja 😊
Abdul Rahman,5,9/6/2024 2:02,positif,Trimakasih glints berkat aplikasi ini saya mendapatkan pekerjaan dengan cepat dan mudah.
Arjuna Mahesya,5,9/6/2024 2:00,positif,bagus
Aiyub MY,5,9/5/2024 15:52,positif,sangat mendukung untuk memudahkan para seeker.
Dudi K,1,9/5/2024 11:17,negatif,"Tolong perbaiki settingan area nya. Di setting Area Jakarta, kenapa kota lain masuk ( Klaten,Semarang, Surabaya). Setting Jawa Barat, kenapa Bali ( Badung dan sekitarnya) masuk."
Alik Susiyanto,1,9/5/2024 9:34,negatif,"Banyak perusahaan scam, jangan di download"
Siti Hodijah,5,9/5/2024 9:18,positif,"aplikasi yg sangat membantu saya untuk mencari kerja, jadi saya dapat panggilan banyak dari perusahaan,dan saya diterima. terimakasih banyak"
Ghulam Fadhilah achmad,5,9/5/2024 9:17,positif,Alhamdulillah sangat membantu
sapri nasywa,4,9/5/2024 6:50,positif,sangat membantu
Kap Damanik,1,9/5/2024 5:11,negatif,Udah di chat HRD yg status di baca cuma 1 yg lain cuma status terkirim..trus loker nya jg sedikit wilayah Jabodetabek kebanyakan luar daerah..
Nofia Cahyasari,5,9/5/2024 2:59,positif,bagus... sangat mudah memperoleh info pekerjaan
Erik Efendi,4,9/5/2024 2:47,positif,Bagus Lah
Yaaro nasekhi Landru,5,9/5/2024 2:42,positif,saya tertarik dengan aplikas ini
Alvinnf,5,9/5/2024 2:35,positif,ok
Sego Liwet 02,5,9/5/2024 2:30,positif,baik
Ririn Harinii,4,9/5/2024 2:18,positif,"Thank u glints.. aplikasinya bagus bgt gampang juga untuk cari pekerjaan, tapi kenapa ya akhir² ini glints tuh ngebug, kalau pas mau ngirim cv loading nya lama bgt pdhl sinyal okeoke aja, harus di close dulu baru ke kirim cv nya:( mohon diperbaiki yaa, jadi mempersulit untuk ngirim cv soalnya"
RIZAL PAIN,5,9/5/2024 2:03,positif,ok
Miftahul Rozaq,5,9/5/2024 1:51,negatif,"Tolong diperbaiki lagi supaya bisa upload bukti file Sertifikat, dan tolong diperbaiki jika Bulan dan Tahun belum lewat, tidak bisa di stel buat nulis di Sertifikat Profil Glints, tolong diperbaiki lagi karena notifikasi status lamaran tidak bareng bahkan tidak ada karena di Email ada notifikasi lowongan tutup, sedangkan di Aplikasi Glints tidak ada."
Kakek Zeus,5,9/4/2024 17:14,positif,saya senang menggunakan aplikasi ini
Pahru Roji,5,9/4/2024 14:59,positif,aplikasi glints emang top respon ya cepet
Adi Sugianto,5,9/4/2024 13:11,positif,ok
Leonardo Hasibuan01,5,9/4/2024 12:25,positif,bagus
Lidas Dani,5,9/4/2024 9:36,positif,good
Bayu Tanggoro,5,9/4/2024 9:20,positif,mntapp
arief dkk,5,9/4/2024 7:21,negatif,om kadang gak sesuai pekerjaan sama gajinya
Jaya Laksanto,5,9/4/2024 6:14,positif,"Terimakasih, sudah ada beberapa panggilan kerja dari berbagai perusahaan. makin sukses pokoknya."
MUHAMMAD SAEPULLOH,5,9/4/2024 5:54,positif,Terima Kasih
Taufik Muzaky,5,9/4/2024 5:46,positif,sangat bagus 👍
Nita Aprillia,5,9/4/2024 5:25,positif,sangat mantap
Hendra Wan,5,9/4/2024 4:02,positif,sangat membantu banget
Irman Nanda fy,5,9/3/2024 23:52,positif,good
Fachrul Aditzah,5,9/3/2024 23:45,positif,good
Hebran Fredi,5,9/3/2024 16:56,positif,Bagus sekali.
Asmar Ox's,5,9/3/2024 15:57,positif,bagus ini aplikasi
Muhammad Salim,5,9/3/2024 13:59,positif,bagus
fitRan Aksin,5,9/3/2024 13:01,positif,sangat membantu
Syarah Amalia,4,9/3/2024 6:50,positif,sangat baguss dan Masi menunggu hasil selanjutnya setelah mencari loker² di aplikasi ini
Firjan Janu,5,9/3/2024 5:43,positif,sangat membantu
mochammad mukson,5,9/3/2024 5:06,positif,"Mantap, terpercaya dan komprehensif"
Lelly Nursyifa,5,9/3/2024 4:29,positif,Bissmillah semoga dapet pekerjaan dari aplikasi Glints
Samsu Samsuddin,5,9/3/2024 2:29,positif,sangat membantu because langsung kepada loker dituju.. sehingga terhindar dari loker palsu.
Karin Wati,5,9/2/2024 19:48,positif,iya sangan baik
Farida Nuraini,4,9/2/2024 15:38,positif,sangat bermanfaat
Kenzi Asril,5,9/2/2024 12:46,positif,Oke jobnya
Achmadaziz Syach19,4,9/2/2024 7:20,positif,mantap
iqbal alfariz,1,9/2/2024 5:01,negatif,Apk aneh nge bug gajelas
Rifki Firmansyah,5,9/2/2024 4:23,positif,"mantap , semoga bisa menjadi jalan untuk mencari kerja"
Hachio tomeza Anisa karima,5,9/2/2024 3:05,positif,Sangat mudah untuk digunakan.
Hendi Handika,5,9/2/2024 3:01,positif,bismillah
Smsung Edan,1,9/2/2024 2:25,negatif,Loker bodong semua
yuda 2006,5,9/1/2024 19:59,positif,Sangat membantu buat saya
ryan andreas banjarnahor,5,9/1/2024 15:07,positif,ok
Syahputra Hilman,1,9/1/2024 14:27,negatif,"Dari 32 lamaran yang dikirim g ada 1 pun di lirik perusahaan,mending gw uninstall aplikasinya,"
Ade maulana,5,9/1/2024 11:13,positif,sangat mudah untuk melamar
Irrul Speed,5,9/1/2024 5:11,positif,sangat membantu untuk mendapatkan pekerjaan
Ringgit Kartika,5,9/1/2024 5:10,positif,Thank you guys atom good morning good afternoon my name name my name aing Sherly
Suparno STI&k,5,9/1/2024 4:17,positif,baik
Adriana Chicie,4,9/1/2024 3:36,positif,sangat membantu para pencari kerja
Taufik Maulana,5,9/1/2024 2:05,positif,mantap
Elly Sofia,4,9/1/2024 1:45,positif,sangat puas
Martono Heriyanto,5,9/1/2024 1:25,positif,mantap
Ronel Imanoel Sitorus Vane (RIVan),3,9/1/2024 1:16,netral,"kalau sudah saya mendapatkan pekerjaan, saya buat Bintang 5."
rina aria,5,8/31/2024 21:19,positif,aplikasi yg bagus untuk cari kerja sama kerja sampingan.
Rohman Saja,1,8/31/2024 18:34,negatif,Kecewa dengan apk satu ini loker nya ga jelas
Dona Ah,5,8/31/2024 11:27,netral,semoga saya bisa secepatnya dapet kerja
Hendy Halim,1,8/31/2024 9:05,negatif,"Ga ada yg diterima,info palsu kebanyakan"
Azam Putri,5,8/31/2024 8:45,positif,good place to find some job
riyan alkhoir,5,8/31/2024 8:28,positif,bagus
joko ksbntr.69supot,5,8/31/2024 6:42,positif,Bermanfaat
didin hasanudin,5,8/31/2024 6:42,positif,TRIms banyak aplikasi Glints ini sangat membantu saya dlm mencari informasi pekerjaan Ternyata lebih sangat mudah skli lg TRIms bnyak aplikasi Glints🙏🏻
Safer dafer,5,8/31/2024 5:19,netral,Semoga glints lebih maju & terdepan dari tahun ke tahun Dan semoga bermanfaat bagi saya pribadi & semua orang yang membutuhkan pekerjaan
"Ahmad Bazi Syarif, ST",5,8/31/2024 3:57,positif,banyak pilihan kerjaan...aplikasi gak berat...mudah untuk cari loker
Andi Andika takbir,5,8/30/2024 17:52,positif,mantap
Emiemi Batari,5,8/30/2024 14:43,netral,"fast respons, semoga iklan lowker lbh spesfik dan lbh bnyk lagi untuk org2 yg sdh umur 40an yg tenaga nya msh bs d gunakan dan layak untuk bekerja berdasarkan pengalaman yg di miliki, terimakasih 🙏"
MERRY NATALIA PURBA OFFICIAL,5,8/30/2024 13:56,positif,good
Ucu Ntx,4,8/30/2024 12:38,positif,baik
Kartini Afriyani jayanatha,4,8/30/2024 11:07,positif,lumayan bagus
adzikri habdillah,5,8/30/2024 10:44,positif,mantappp
Ferius Lature,2,8/30/2024 10:10,negatif,Mohon apk glints ini untuk di bagusin kembali agak lelet....kmrn bagus saat di dowloand skrg agak lambat.
Susi Maryani46,5,8/30/2024 9:14,positif,sangat puas
Desy Andiyanti,4,8/30/2024 6:12,positif,good recommended
Syaiful Rohman,5,8/30/2024 4:34,positif,sya minat kerja.
Bambang Wijaya,5,8/30/2024 3:20,positif,Ok
Omelia Bago,5,8/30/2024 1:54,positif,memudahkan untuk mendapatkan pekerjaan dan menambah informasi terbaru untuk semua orang yg berkeinginan untuk mengembangkan karir
Intan Nur Aini,4,8/30/2024 0:37,positif,"fiturnya bagus, banyak lowongan yang sangat dicari. semoga semakin bagus dan banyak tambahan yang menarik"
Muhamad Permana putra,5,8/29/2024 16:11,positif,Sangat membantu sekali
Eden's Official Tv,5,8/29/2024 14:58,positif,membantu untuk mencari pekerjaan
Maman Man,5,8/29/2024 13:53,negatif,jarang ada respon
Vincentius Christian,5,8/29/2024 12:57,positif,mantul
irsyal Syam,5,8/29/2024 11:36,positif,sangat membantu
Filja fernando,5,8/29/2024 11:26,positif,mksi sudah membantu
Bayu Wulandari,1,8/29/2024 11:01,negatif,Aplikasi babi
Ibrahim Hanif,5,8/29/2024 10:17,positif,Aplikasi pencari kerja yang lumayan membantu.... semoga Amiiiin....🤲🙏
Fachmi Agustio,5,8/29/2024 9:32,positif,good aplikasi
Vio Ds,5,8/29/2024 8:33,negatif,Scam banget rasa nya
Rudi Nugroho,5,8/29/2024 8:29,positif,baik
rafiqul amin,5,8/29/2024 7:52,positif,keren
Nisa Muta,4,8/29/2024 6:11,positif,baru mencoba
Muhammad Nur Huda,5,8/29/2024 5:49,positif,sangat baik
Asep Dery,5,8/29/2024 4:29,positif,aplikasi nya sangat mudah dan sangat membantu
Siti Patonah,5,8/29/2024 3:51,positif,baik
Usman Sulaeman,5,8/29/2024 3:09,positif,bagus
sucicahya ilahi,3,8/29/2024 1:23,negatif,"Untuk filter pekerjaan masih berantakan. Padahal saya sudah pilih opsi pekerjaan daerah jakarta selatan tapi tetep saja muncul daerah jogja,kudus,magelang,banyuwangi,bandung,bali,semarang. Tolong dong perbaiki lagi ..."
Ainur Tresnawati,5,8/29/2024 1:22,positif,sangat membantu untuk mencari kerja
Lalu Adi Hidayat Lalu Adi Hidayat Rachman,5,8/28/2024 22:38,positif,Terimakasih informasinya
Henryck Jr,5,8/28/2024 19:36,positif,Saya sangat menyukai aplikasi ini
Muchamad Rezki,5,8/28/2024 17:06,positif,Aplikasi keren
Zasqia Siti Yuane Putri,5,8/28/2024 14:01,netral,"cukup membantu, tapi saya harap bisa mengakses berbagai pekerjaan tanpa perlu memilih skill yang dimiliki agar dapat membantu seseorang memilih pekerjaan yang ada lebih cepat."
Heru Ardanaa,3,8/28/2024 13:14,negatif,slow respon hrd
Oga Lina,5,8/28/2024 13:07,positif,mantap
Dpanjapa Japa,4,8/28/2024 13:03,positif,"Sangat membantu sekali bagi mereka yang sedang mencari /membutuhkan pekerjaan,"
Ulfah Sa'adah,5,8/28/2024 10:48,positif,"sangat membantu, semoga ada rejekinya untuk IRT ini 🤲💖"
Firjoe Joe,5,8/28/2024 8:22,positif,top
akbar krisna,1,8/28/2024 8:01,negatif,Isinya penipuan semua lokernya
M. Syarifudin Komarullah,1,8/28/2024 7:32,negatif,"Aplikasi penipu, gak mungkin di Palembang tidak ada pekerjaan sama sekali"
Faisal Hasanudin,5,8/28/2024 4:21,positif,bermanfaat buat cari kerja
Ferin Pashy,5,8/28/2024 3:22,positif,Nice
Muhammad Fajar syamsuri,5,8/28/2024 3:17,positif,ok
Dwi Putri Anggraini,5,8/28/2024 2:13,positif,aplikasi yang akan memulai karier saya dengan baik
Suti Melati,5,8/28/2024 1:43,netral,assalamualaikum bismillah semoga secepatnya aku bisa kerja
heldian novianto,5,8/28/2024 0:04,positif,ok
dimas saputro,4,8/28/2024 0:01,positif,mantappp
Idhar Irawan,5,8/27/2024 12:36,positif,Alhamdulilah berkat apk ini saya dapat kerja
Sayiber Brengos,5,8/27/2024 10:06,negatif,samp sekarang belum bisa dapat apah yang sayah mau
Irfandi,5,8/27/2024 7:39,netral,"semoga ada peluang, untuk orang-orang yang mau berusaha,🤲"
Alip Arif,5,8/27/2024 6:27,netral,sangat penting dalam memulai karier
Mbah Lamong,5,8/27/2024 5:44,positif,sangat bermanfaat bagi saya
Den Aray875,1,8/27/2024 5:07,negatif,Susah bgt di gunain karna pake BHS inggris
Yasma Sari,5,8/27/2024 3:55,positif,bagus
Yuda Prasetya,1,8/27/2024 3:19,negatif,"Aplikasi loker gajelas, dari awal download tahun 2023 bulan november, ga ada satupun dapet panggilan/interview, scam semua, padahal cuma mau cari magang/intern, tapi HRD tanpa chat yang jelas, skill tidak sesuai atau lowongan sudah ditutup. Gajelas woi, buang buang kuota+waktu. APK SCAM!!"
Andy Ihsan Abdurrahman,5,8/27/2024 1:51,positif,sangat bermanfaat
Dedi Abisyah,5,8/27/2024 1:48,positif,Keren 👍🏻
Rizqi Maulana Ikhwan,5,8/26/2024 14:12,positif,membantu
ILHAM [ ELIT ],5,8/26/2024 14:12,positif,"sangat bagus apk ini, tempat cari kerja yang praktis dan simpel"
Andy Khitrianto,5,8/26/2024 12:37,positif,krennn
Anita Nubatonis,5,8/26/2024 11:20,positif,"melalui aplikasi ini, dapat memudahkan saya untuk mencari pekerjaan yang sesuai dgn kemampuan saya"
Gilang Ansyori,2,8/26/2024 10:51,negatif,Tidak ada satu pun lamaran saya yang sampe di proses. Apakah betul lamaran saya sampai pada HRD nya??
Budi Darmawan,5,8/26/2024 9:06,positif,sangat bagus
jumas tan,5,8/26/2024 8:29,positif,"mantep tau aplikasinya, langsung HRDnya yang cek"
Doni Andreansyah,1,8/26/2024 8:06,negatif,"Susah bgt,selalu d tolak lamarannya pdhl udh lengkap dan melamar sesuai yg d butuh kan tp ttp aj sayangny lamaran kmu tidak bisa d lanjutkqn"
Mochamad Dony Noviandri,5,8/26/2024 7:09,positif,"keren, bisa chat dgn hrd langsung"
aloysius yahfetson boru,5,8/26/2024 6:20,positif,sangat bagus
Alvi Alvi,1,8/26/2024 4:28,positif,jos
Redy Harjadinata,5,8/26/2024 4:08,positif,mudah untuk digunakan dan dipahami..cara cepat untuk melamar pekerjaan.
sabar,5,8/26/2024 1:59,positif,Semoga bermanfaat
MaIn Jahadaaelsinlae,4,8/26/2024 1:40,netral,"maaih mendowlod..dan belum tahu, bagus ato tidaknya."
Ginanjar Eko,5,8/26/2024 1:13,positif,Sangat membantu mencari pekerjaan
Ril Kasim,5,8/25/2024 16:58,positif,apk terkenal bisa mendapatkan uang
Anto Sani,5,8/25/2024 14:52,positif,sangat membantu saya mencari pekerjaan
Daniel Jhon,5,8/25/2024 12:43,positif,Hanya GLINTS yang keren dari semua aplikasi pencaker.👍👍👍
khoir Djawal,5,8/25/2024 12:41,positif,good
Noorman Ramadhan,5,8/25/2024 12:34,netral,bagikan lowongan lain untuk smu sederajat umur diatas 35th
Andy Setiawan (Andy),5,8/25/2024 12:20,positif,"saya pernah mendapatkan pekerjaan dari aplikasi ini, terimakasih glints"
Jelajah Mata Lensa,5,8/25/2024 9:52,positif,bagus
Fifin Alfin,5,8/25/2024 8:53,positif,aplikasi yang sangat menarik
Jaedi putra Putra,5,8/25/2024 2:53,positif,okbosss
Rifaldy 123,5,8/24/2024 22:32,positif,Bagus untuk cari loker
Agung Stefanny99,5,8/24/2024 19:42,netral,semoga beruntung
Abdullah Azis,5,8/24/2024 17:33,positif,sangat membantu.
diana otu,4,8/24/2024 14:23,positif,aplikasi bagus banget sangat membantu buat yang lagi cari kerja
Aris Setioyhunanto,5,8/24/2024 14:19,positif,Membantu sekali apk glint ini untuk info lowongan pekerjaan
Aan Aulia,5,8/24/2024 12:47,positif,sangat membantu
Suci Iryanti,5,8/24/2024 10:02,positif,good
Yacob Sahuleka,4,8/24/2024 6:40,positif,sangat bgus
Andre Setiawan,4,8/24/2024 6:25,positif,oke
Herliani,5,8/24/2024 5:28,positif,ok
Murni Manik,4,8/24/2024 5:03,positif,baik
aulia noor,2,8/24/2024 3:15,negatif,"Hi Glints ! Informasikan kepada seluruh HRD cari yang mau kerja jangan hanya lihat umur saja! Lihat berapa kali saya apply dan berapa kali rejected hanya karena baru liat CV saja. Padahal Mereka tidak interview, tidak ada test. Apa karena saya experienced sementara perusahaan hanya bisa kasih gaji kecil? Its ok kan negotiable! Jobdesk sudah sesuai dengan pengalaman saya tapi rejected mulu."
Ade Irawan,4,8/24/2024 2:21,netral,gw kasih 5 kalo dpt kerja
Radul Channel,5,8/23/2024 22:32,netral,Nyoba dulu
Rafika Medan,5,8/23/2024 12:15,positif,terima kasih sudah memudahkan mencari kerja
Moh Ashar,5,8/23/2024 11:53,positif,Aplikasi wajib buat para pemburu pengalaman + cuan👑
Cakra Adiyat,3,8/23/2024 11:38,netral,Bener gk sih aplikasi ini
Tuti Rohimah,3,8/23/2024 9:19,negatif,Seharusnya aplikasi ini bagus ya tpi lama bgt panggilan interviw nya setudak nya bisa lebih cepat untuk memberikan informasi nya.
Nur Abyantoro,4,8/23/2024 9:18,netral,"membantu untuk mencari pekerjaan,tapi kebanyakan lulusan sarjana . klo bisa banyakin lagi untuk lulusan SMK buat daerah Cikarang cekasi"
Dewi,4,8/23/2024 5:34,positif,keren
T Rex,1,8/23/2024 3:11,positif,Bad
valen victor,5,8/23/2024 1:27,positif,baik
Sidhi Pangarso,5,8/23/2024 1:13,positif,Bagus selalu update
Dedy Farizal5,3,8/22/2024 17:58,netral,Ok.. Dicoba Ulang Diproses Dinyatakan Dipertimbangkan Diperhatikan.
Nisa Hanjani,5,8/22/2024 16:20,positif,apk ini sangat membantu untuk mencari pekerjaan..
Arsif Sutanto,1,8/22/2024 15:49,negatif,masih bingung sudah beberapa di kirim CV belum ada respon ada kesalahan apa ini
Heri Cahyono,5,8/22/2024 14:16,positif,good apps
Yhatzna 94,5,8/22/2024 12:49,positif,ok
Fyrman Sdm,5,8/22/2024 12:18,positif,sangat membantu dalam mencari kerja.
Widya Fitriyani,4,8/22/2024 10:42,negatif,"Sudah bagus, tapi untuk dikategori pendidikan , tolong ditambahkan untuk option Profesi. Jadi S1-PROFESI"
Sapar Wadi,3,8/22/2024 8:19,netral,Kami pemula apakah ini betul benar atau tidak. Yg penting sy coba coba dulu
Ali Dvr,5,8/22/2024 7:02,positif,membantu
Satrio Satrio,5,8/22/2024 6:54,positif,ok
Nickyarnnas Wibowo,5,8/22/2024 5:18,positif,bismillah semoga ada rezekinya
Mas Baguse,5,8/22/2024 3:25,positif,mantap banget membantu mencari pekerjaan
Pipih Ruķmana,5,8/21/2024 22:48,positif,Info jelas tentang loker.
Celsi Cel,5,8/21/2024 16:59,netral,baru coba
Rojak Apriyadi,5,8/21/2024 15:19,netral,Jaman sekarang mungkin karena perekonomian sekarang suasana banyak sekali merasa.kebutuhan.ekonomi.meningkat Jaman sekarang
Kangkung Bandung,5,8/21/2024 15:07,positif,sangat membatu untuk pemula
Ariffandi Sidiq,5,8/21/2024 13:02,positif,oke
Irma Wati,5,8/21/2024 12:01,netral,Sedikit lebih sulit tapi aplikasi ini bnyak job dari luar
Nur Cholis,5,8/21/2024 11:59,positif,bagus
Mahdas Sulaiman,5,8/21/2024 10:34,positif,bagus
Isha Isbandi,5,8/21/2024 10:00,positif,good
Ciko Ciko,5,8/21/2024 8:28,positif,ok
Henri Wijaya,5,8/21/2024 6:11,positif,"info lamaran cukup cepat,sehingga kita bisa tahu dengan segera status lamarannya"
Ahmad Muzakky,5,8/21/2024 5:56,positif,sangat membantu mencari pekerjaan yg relevan dengan apa yg kita minati
Nikita Tesabela038,5,8/21/2024 3:06,positif,"waw apk nya baagus sekaali, cocok buat digunakan"
Imam Susanto,5,8/21/2024 2:54,positif,sangat membantu
Surya Jaya,5,8/20/2024 23:02,positif,bagus dalam memberi lowongan
Arief Ramadhan,5,8/20/2024 16:43,positif,good
Sundari Delly,1,8/20/2024 16:06,negatif,vacant iklan lokernya gak jelas banyakan PHP
Daffa Sabran,5,8/20/2024 15:41,positif,mantap glints
Yusro Effendi Al-Pagenjahani (Al-Ghozali Muda),5,8/20/2024 14:02,positif,Bagus bisa membantu masyarakat walaupun dari pihak perusahaannya tidak ada respon.
Iftihal Septiani,5,8/20/2024 13:40,netral,semoga bermanfaat buat saya
Nelly Pebrina Sagala,5,8/20/2024 6:45,netral,semoga lowongan pekerjaan tidak bodong ya bun
Yosi Armando,5,8/20/2024 6:11,positif,Mengangumkan
afif miftahudin,5,8/20/2024 5:45,positif,bagus
Kinanti Kailla,5,8/20/2024 1:24,positif,sangat membantu
anik anik,3,8/20/2024 1:19,positif,bagus
Sania Putri,5,8/19/2024 15:43,positif,sangat membantu
Wisnu Purwagarlaky,5,8/19/2024 15:31,positif,simple dan mudah
Arifin Insan,5,8/19/2024 15:06,positif,Apk pengurangan masalah pengangguran
Novi Novi,5,8/19/2024 14:24,positif,baik
Anjay Aku boong,5,8/19/2024 10:14,positif,Sangat bagus mengasikan uang
Akie Futkie,5,8/19/2024 8:53,positif,professional mantap
Egis Tianda,5,8/19/2024 6:58,positif,sangat bagus
Sri Indra,3,8/19/2024 6:11,positif,nice
Raihan Mc,5,8/19/2024 5:48,positif,"Terima kasih glints, sat set bener nih pake apk glints, baru minggu kemaren ajukan lamaran via Glints dan alhamdulillah besok sudah bisa langsung masuk kerja"
Nurh wayandani,5,8/19/2024 4:58,positif,lowongan kerja sangat banyak... aplikasi terbaik dari yang lain. langsung bintang 5
Kevin Akbar,5,8/19/2024 4:38,positif,nice
Rudy Yono,3,8/19/2024 4:19,positif,"terimakasih glints saya merasa terbantu dengan apk ini, tetapi saya blm mendapatkan pekerjaan dari apk ini, jadi sementara 3 bintang dulu ya"
Desi aliyaa,3,8/19/2024 3:23,netral,msih stengah
alya salfa karima,1,8/19/2024 2:54,negatif,"Kok gini ya Udah dicantumkan lowongan yg sesuai daerah domisili agar dekat tapi ttp aj yg kluar malah luar daerah domisili, jauh2 sekali sampe ke kluar kota."
Muhammad Fahmi,3,8/19/2024 2:23,positif,"Aplikasi bagus dari segi lowongan, namun ketika sedang scrolling lowongan sering sekali keluar aplikasi secara tiba-tiba. Mohon diperbaiki dan dievaluasi kedepannya."
Farel Lagu lagu,5,8/19/2024 2:07,positif,saya tertarik
Ahmad Kiki (#Elang-Sundanese),5,8/19/2024 1:21,positif,lumayan dari pada lumayun . nganggur enga kerja
