,content,label_num,clean_teks
329,"Banyak scam, pilhan kerja remote tp ujung2 nya di suruh top up utk meningkatkan mendapatan.. kocag. Lebih baik apl jobstreet gais, jelas.",0,scam pilhan kerja remote ujung nya suruh top up tingkat dapat kocag baik apl jobstreet gais
330,hrs lebih baik lg,0,baik
331,baguuus,2,baguuus
332,scam aplikasi tidak jelas,0,scam aplikasi tidak
333,sangat bagus,2,bagus
334,chat jarang di balas,0,chat jarang balas
335,Udah aku beri lima bintang moga cepat dapet kerja 😊,2,bintang moga cepat dapet kerja
336,Trimakasih glints berkat aplikasi ini saya mendapatkan pekerjaan dengan cepat dan mudah.,2,trimakasih glints berkat aplikasi kerja cepat mudah
337,bagus,2,bagus
338,sangat mendukung untuk memudahkan para seeker.,2,dukung mudah seeker
339,"Tolong perbaiki settingan area nya. Di setting Area Jakarta, kenapa kota lain masuk ( Klaten,Semarang, Surabaya). Setting Jawa Barat, kenapa Bali ( Badung dan sekitarnya) masuk.",0,tolong baik settingan area nya setting area jakarta kota masuk klatensemarang surabaya setting jawa barat bal badung masuk
340,"Banyak perusahaan scam, jangan di download",0,usaha scam download
341,"aplikasi yg sangat membantu saya untuk mencari kerja, jadi saya dapat panggilan banyak dari perusahaan,dan saya diterima. terimakasih banyak",2,aplikasi bantu cari kerja panggil perusahaandan terima terimakasih
342,Alhamdulillah sangat membantu,2,alhamdulillah bantu
343,sangat membantu,2,bantu
344,Udah di chat HRD yg status di baca cuma 1 yg lain cuma status terkirim..trus loker nya jg sedikit wilayah Jabodetabek kebanyakan luar daerah..,0,chat hrd status baca status terkirimtrus loker nya wilayah jabodetabek banyak daerah
345,bagus... sangat mudah memperoleh info pekerjaan,2,bagus mudah oleh informasi kerja
346,Bagus Lah,2,bagus
347,saya tertarik dengan aplikas ini,2,tarik aplikas
348,ok,2,ok
349,baik,2,baik
350,"Thank u glints.. aplikasinya bagus bgt gampang juga untuk cari pekerjaan, tapi kenapa ya akhir² ini glints tuh ngebug, kalau pas mau ngirim cv loading nya lama bgt pdhl sinyal okeoke aja, harus di close dulu baru ke kirim cv nya:( mohon diperbaiki yaa, jadi mempersulit untuk ngirim cv soalnya",2,thank glints aplikasi bagus banget gampang cari kerja ya akhir glints tuh ngebug pas kirim cv loading nya banget sinyal okeoke close kirim cv nya mohon baik yaa sulit kirim cv
351,ok,2,ok
352,"Tolong diperbaiki lagi supaya bisa upload bukti file Sertifikat, dan tolong diperbaiki jika Bulan dan Tahun belum lewat, tidak bisa di stel buat nulis di Sertifikat Profil Glints, tolong diperbaiki lagi karena notifikasi status lamaran tidak bareng bahkan tidak ada karena di Email ada notifikasi lowongan tutup, sedangkan di Aplikasi Glints tidak ada.",0,tolong baik upload bukti file sertifikat tolong baik tidak stel nulis sertifikat profil glints tolong baik notifikasi status lamar tidak bareng tidak email notifikasi lowong tutup aplikasi glints tidak
353,saya senang menggunakan aplikasi ini,2,senang aplikasi
354,aplikasi glints emang top respon ya cepet,2,aplikasi glints emang top respon ya cepat
355,ok,2,ok
356,bagus,2,bagus
357,good,2,good
358,mntapp,2,mntapp
359,om kadang gak sesuai pekerjaan sama gajinya,0,om kadang tidak sesuai kerja gaji
360,"Terimakasih, sudah ada beberapa panggilan kerja dari berbagai perusahaan. makin sukses pokoknya.",2,terimakasih panggil kerja usaha sukses pokok
361,Terima Kasih,2,terima kasih
362,sangat bagus 👍,2,bagus
363,sangat mantap,2,mantap
364,sangat membantu banget,2,bantu banget
365,good,2,good
366,good,2,good
367,Bagus sekali.,2,bagus
368,bagus ini aplikasi,2,bagus aplikasi
369,bagus,2,bagus
370,sangat membantu,2,bantu
371,sangat baguss dan Masi menunggu hasil selanjutnya setelah mencari loker² di aplikasi ini,2,baguss tunggu hasil cari loker aplikasi
372,sangat membantu,2,bantu
373,"Mantap, terpercaya dan komprehensif",2,mantap percaya komprehensif
374,Bissmillah semoga dapet pekerjaan dari aplikasi Glints,2,bissmillah moga dapet kerja aplikasi glints
375,sangat membantu because langsung kepada loker dituju.. sehingga terhindar dari loker palsu.,2,bantu because langsung loker tuju hindar loker palsu
376,iya sangan baik,2,iya sangan baik
377,sangat bermanfaat,2,manfaat
378,Oke jobnya,2,oke jobnya
379,mantap,2,mantap
380,Apk aneh nge bug gajelas,0,apk aneh nge bug tidak
381,"mantap , semoga bisa menjadi jalan untuk mencari kerja",2,mantap moga jalan cari kerja
382,Sangat mudah untuk digunakan.,2,mudah
383,bismillah,2,bismillah
384,Loker bodong semua,0,loker bodong
385,Sangat membantu buat saya,2,bantu
386,ok,2,ok
387,"Dari 32 lamaran yang dikirim g ada 1 pun di lirik perusahaan,mending gw uninstall aplikasinya,",0,lamar kirim tidak lirik perusahaanmending uninstall aplikasi
388,sangat mudah untuk melamar,2,mudah lamar
389,sangat membantu untuk mendapatkan pekerjaan,2,bantu kerja
390,Thank you guys atom good morning good afternoon my name name my name aing Sherly,2,thank guys atom good pagi good afternoon my nama nama my nama sherly
391,baik,2,baik
392,sangat membantu para pencari kerja,2,bantu cari kerja
393,mantap,2,mantap
394,sangat puas,2,puas
395,mantap,2,mantap
396,"kalau sudah saya mendapatkan pekerjaan, saya buat Bintang 5.",1,kerja bintang
397,aplikasi yg bagus untuk cari kerja sama kerja sampingan.,2,aplikasi bagus cari kerja kerja samping
398,Kecewa dengan apk satu ini loker nya ga jelas,0,kecewa apk loker nya tidak
399,semoga saya bisa secepatnya dapet kerja,1,moga cepat dapet kerja
400,"Ga ada yg diterima,info palsu kebanyakan",0,tidak diterimainfo palsu banyak
401,good place to find some job,2,good find some job
402,bagus,2,bagus
403,Bermanfaat,2,manfaat
404,TRIms banyak aplikasi Glints ini sangat membantu saya dlm mencari informasi pekerjaan Ternyata lebih sangat mudah skli lg TRIms bnyak aplikasi Glints🙏🏻,2,trims aplikasi glints bantu cari informasi kerja mudah skli trims bnyak aplikasi glints
405,Semoga glints lebih maju & terdepan dari tahun ke tahun Dan semoga bermanfaat bagi saya pribadi & semua orang yang membutuhkan pekerjaan,1,moga glints maju depan moga manfaat pribadi orang butuh kerja
406,banyak pilihan kerjaan...aplikasi gak berat...mudah untuk cari loker,2,pilih kerjaanaplikasi tidak beratmudah cari loker
407,mantap,2,mantap
408,"fast respons, semoga iklan lowker lbh spesfik dan lbh bnyk lagi untuk org2 yg sdh umur 40an yg tenaga nya msh bs d gunakan dan layak untuk bekerja berdasarkan pengalaman yg di miliki, terimakasih 🙏",1,fast respons moga iklan lowker spesfik orang umur an tenaga nya d layak dasar alam milik terimakasih
409,good,2,good
410,baik,2,baik
411,lumayan bagus,2,lumayan bagus
412,mantappp,2,mantappp
413,Mohon apk glints ini untuk di bagusin kembali agak lelet....kmrn bagus saat di dowloand skrg agak lambat.,0,mohon apk glints bagusin leletkmrn bagus dowloand lambat
414,sangat puas,2,puas
415,good recommended,2,good recommended
416,sya minat kerja.,2,minat kerja
417,Ok,2,ok
418,memudahkan untuk mendapatkan pekerjaan dan menambah informasi terbaru untuk semua orang yg berkeinginan untuk mengembangkan karir,2,mudah kerja tambah informasi baru orang kembang karir
419,"fiturnya bagus, banyak lowongan yang sangat dicari. semoga semakin bagus dan banyak tambahan yang menarik",2,fiturnya bagus lowong cari moga bagus tambah tarik
420,Sangat membantu sekali,2,bantu
421,membantu untuk mencari pekerjaan,2,bantu cari kerja
422,jarang ada respon,0,jarang respon
423,mantul,2,mantul
424,sangat membantu,2,bantu
425,mksi sudah membantu,2,terimakasih bantu
426,Aplikasi babi,0,aplikasi babi
427,Aplikasi pencari kerja yang lumayan membantu.... semoga Amiiiin....🤲🙏,2,aplikasi cari kerja lumayan bantu moga amiiiin
428,good aplikasi,2,good aplikasi
429,Scam banget rasa nya,0,scam banget nya
430,baik,2,baik
431,keren,2,keren
432,baru mencoba,2,coba
433,sangat baik,2,baik
434,aplikasi nya sangat mudah dan sangat membantu,2,aplikasi nya mudah bantu
435,baik,2,baik
436,bagus,2,bagus
437,"Untuk filter pekerjaan masih berantakan. Padahal saya sudah pilih opsi pekerjaan daerah jakarta selatan tapi tetep saja muncul daerah jogja,kudus,magelang,banyuwangi,bandung,bali,semarang. Tolong dong perbaiki lagi ...",0,filter kerja beranta pilih opsi kerja daerah jakarta selatan muncul daerah jogjakudusmagelangbanyuwangibandungbalisemarang tolong baik
438,sangat membantu untuk mencari kerja,2,bantu cari kerja
439,Terimakasih informasinya,2,terimakasih informasi
440,Saya sangat menyukai aplikasi ini,2,suka aplikasi
441,Aplikasi keren,2,aplikasi keren
442,"cukup membantu, tapi saya harap bisa mengakses berbagai pekerjaan tanpa perlu memilih skill yang dimiliki agar dapat membantu seseorang memilih pekerjaan yang ada lebih cepat.",1,cukup bantu harap akses kerja pilih skill milik bantu pilih kerja cepat
443,slow respon hrd,0,santai respon hrd
444,mantap,2,mantap
445,"Sangat membantu sekali bagi mereka yang sedang mencari /membutuhkan pekerjaan,",2,bantu cari butuh kerja
446,"sangat membantu, semoga ada rejekinya untuk IRT ini 🤲💖",2,bantu moga rejekinya irt
447,top,2,top
448,Isinya penipuan semua lokernya,0,isi tipu lokernya
449,"Aplikasi penipu, gak mungkin di Palembang tidak ada pekerjaan sama sekali",0,aplikasi tipu tidak palembang tidak kerja
450,bermanfaat buat cari kerja,2,manfaat cari kerja
451,Nice,2,nice
452,ok,2,ok
453,aplikasi yang akan memulai karier saya dengan baik,2,aplikasi karier baik
454,assalamualaikum bismillah semoga secepatnya aku bisa kerja,1,assalamualaikum bismillah moga cepat kerja
455,ok,2,ok
456,mantappp,2,mantappp
457,Alhamdulilah berkat apk ini saya dapat kerja,2,alhamdulillah berkat apk kerja
458,samp sekarang belum bisa dapat apah yang sayah mau,0,samp apah sayah
459,"semoga ada peluang, untuk orang-orang yang mau berusaha,🤲",1,moga peluang orangorang usaha
460,sangat penting dalam memulai karier,1,karier
461,sangat bermanfaat bagi saya,2,manfaat
462,Susah bgt di gunain karna pake BHS inggris,0,susah banget gunain pakai bahasa inggris
463,bagus,2,bagus
464,"Aplikasi loker gajelas, dari awal download tahun 2023 bulan november, ga ada satupun dapet panggilan/interview, scam semua, padahal cuma mau cari magang/intern, tapi HRD tanpa chat yang jelas, skill tidak sesuai atau lowongan sudah ditutup. Gajelas woi, buang buang kuota+waktu. APK SCAM!!",0,aplikasi loker tidak download november tidak satu dapet panggilaninterview scam cari magangintern hrd chat skill tidak sesuai lowong tutup tidak woi buang buang kuotawaktu apk scam
465,sangat bermanfaat,2,manfaat
466,Keren 👍🏻,2,keren
467,membantu,2,bantu
468,"sangat bagus apk ini, tempat cari kerja yang praktis dan simpel",2,bagus apk cari kerja praktis simpel
469,krennn,2,krennn
470,"melalui aplikasi ini, dapat memudahkan saya untuk mencari pekerjaan yang sesuai dgn kemampuan saya",2,aplikasi mudah cari kerja sesuai mampu
471,Tidak ada satu pun lamaran saya yang sampe di proses. Apakah betul lamaran saya sampai pada HRD nya??,0,tidak lamar proses lamar hrd nya
472,sangat bagus,2,bagus
473,"mantep tau aplikasinya, langsung HRDnya yang cek",2,mantap tau aplikasi langsung hrdnya cek
474,"Susah bgt,selalu d tolak lamarannya pdhl udh lengkap dan melamar sesuai yg d butuh kan tp ttp aj sayangny lamaran kmu tidak bisa d lanjutkqn",0,susah bgtselalu d tolak lamar lengkap lamar sesuai d butuh ttp sayangny lamar tidak d lanjutkqn
475,"keren, bisa chat dgn hrd langsung",2,keren chat hrd langsung
476,sangat bagus,2,bagus
477,jos,2,jos
478,mudah untuk digunakan dan dipahami..cara cepat untuk melamar pekerjaan.,2,mudah dipahamicara cepat lamar kerja
479,Semoga bermanfaat,2,moga manfaat
480,"maaih mendowlod..dan belum tahu, bagus ato tidaknya.",1,maaih mendowloddan bagus ato tidak
481,Sangat membantu mencari pekerjaan,2,bantu cari kerja
482,apk terkenal bisa mendapatkan uang,2,apk kenal uang
483,sangat membantu saya mencari pekerjaan,2,bantu cari kerja
484,Hanya GLINTS yang keren dari semua aplikasi pencaker.👍👍👍,2,glints keren aplikasi pencaker
485,good,2,good
486,bagikan lowongan lain untuk smu sederajat umur diatas 35th,1,bagi lowong smu derajat umur atas th
487,"saya pernah mendapatkan pekerjaan dari aplikasi ini, terimakasih glints",2,kerja aplikasi terimakasih glints
488,bagus,2,bagus
489,aplikasi yang sangat menarik,2,aplikasi tarik
490,okbosss,2,okbosss
491,Bagus untuk cari loker,2,bagus cari loker
492,semoga beruntung,1,moga untung
493,sangat membantu.,2,bantu
494,aplikasi bagus banget sangat membantu buat yang lagi cari kerja,2,aplikasi bagus banget bantu cari kerja
495,Membantu sekali apk glint ini untuk info lowongan pekerjaan,2,bantu apk glint informasi lowong kerja
496,sangat membantu,2,bantu
497,good,2,good
498,sangat bgus,2,bgus
499,oke,2,oke
500,ok,2,ok
501,baik,2,baik
502,"Hi Glints ! Informasikan kepada seluruh HRD cari yang mau kerja jangan hanya lihat umur saja! Lihat berapa kali saya apply dan berapa kali rejected hanya karena baru liat CV saja. Padahal Mereka tidak interview, tidak ada test. Apa karena saya experienced sementara perusahaan hanya bisa kasih gaji kecil? Its ok kan negotiable! Jobdesk sudah sesuai dengan pengalaman saya tapi rejected mulu.",0,hi glints informasi hrd cari kerja lihat umur lihat kali apply kali rejected lihat cv tidak interview tidak test experienced usaha kasih gaji its ok negotiable jobdesk sesuai alam rejected mulu
503,gw kasih 5 kalo dpt kerja,1,kasih kerja
504,Nyoba dulu,1,nyoba
505,terima kasih sudah memudahkan mencari kerja,2,terima kasih mudah cari kerja
506,Aplikasi wajib buat para pemburu pengalaman + cuan👑,2,aplikasi wajib buru alam cuan
507,Bener gk sih aplikasi ini,1,bener tidak sih aplikasi
508,Seharusnya aplikasi ini bagus ya tpi lama bgt panggilan interviw nya setudak nya bisa lebih cepat untuk memberikan informasi nya.,0,aplikasi bagus ya banget panggil interviw nya setudak nya cepat informasi nya
509,"membantu untuk mencari pekerjaan,tapi kebanyakan lulusan sarjana . klo bisa banyakin lagi untuk lulusan SMK buat daerah Cikarang cekasi",1,bantu cari pekerjaantapi banyak lulus sarjana banyakin lulus smk daerah cikarang cekasi
510,keren,2,keren
511,Bad,2,bad
512,baik,2,baik
513,Bagus selalu update,2,bagus update
514,Ok.. Dicoba Ulang Diproses Dinyatakan Dipertimbangkan Diperhatikan.,1,ok coba ulang proses nyata timbang perhati
515,apk ini sangat membantu untuk mencari pekerjaan..,2,apk bantu cari kerja
516,masih bingung sudah beberapa di kirim CV belum ada respon ada kesalahan apa ini,0,bingung kirim cv respon salah
517,good apps,2,good apps
518,ok,2,ok
519,sangat membantu dalam mencari kerja.,2,bantu cari kerja
520,"Sudah bagus, tapi untuk dikategori pendidikan , tolong ditambahkan untuk option Profesi. Jadi S1-PROFESI",0,bagus kategori didik tolong option profesi sprofesi
521,Kami pemula apakah ini betul benar atau tidak. Yg penting sy coba coba dulu,1,mula tidak coba coba
522,membantu,2,bantu
523,ok,2,ok
524,bismillah semoga ada rezekinya,2,bismillah moga rezeki
525,mantap banget membantu mencari pekerjaan,2,mantap banget bantu cari kerja
526,Info jelas tentang loker.,2,informasi loker
527,baru coba,1,coba
528,Jaman sekarang mungkin karena perekonomian sekarang suasana banyak sekali merasa.kebutuhan.ekonomi.meningkat Jaman sekarang,1,jaman ekonomi suasana merasakebutuhanekonomimeningkat jaman
529,sangat membatu untuk pemula,2,batu mula
530,oke,2,oke
531,Sedikit lebih sulit tapi aplikasi ini bnyak job dari luar,1,sulit aplikasi bnyak job
532,bagus,2,bagus
533,bagus,2,bagus
534,good,2,good
535,ok,2,ok
536,"info lamaran cukup cepat,sehingga kita bisa tahu dengan segera status lamarannya",2,informasi lamar cukup cepatsehingga status lamar
537,sangat membantu mencari pekerjaan yg relevan dengan apa yg kita minati,2,bantu cari kerja relevan minat
538,"waw apk nya baagus sekaali, cocok buat digunakan",2,waw apk nya baagus sekaali cocok
539,sangat membantu,2,bantu
540,bagus dalam memberi lowongan,2,bagus lowong
541,good,2,good
542,vacant iklan lokernya gak jelas banyakan PHP,0,vacant iklan lokernya tidak banyak php
543,mantap glints,2,mantap glints
544,Bagus bisa membantu masyarakat walaupun dari pihak perusahaannya tidak ada respon.,2,bagus bantu masyarakat usaha tidak respon
545,semoga bermanfaat buat saya,1,moga manfaat
546,semoga lowongan pekerjaan tidak bodong ya bun,1,moga lowong kerja tidak bodong ya bun
547,Mengangumkan,2,mengangumkan
548,bagus,2,bagus
549,sangat membantu,2,bantu
550,bagus,2,bagus
551,sangat membantu,2,bantu
552,simple dan mudah,2,simpel mudah
553,Apk pengurangan masalah pengangguran,2,apk kurang anggur
554,baik,2,baik
555,Sangat bagus mengasikan uang,2,bagus asyik uang
556,professional mantap,2,professional mantap
557,sangat bagus,2,bagus
558,nice,2,nice
559,"Terima kasih glints, sat set bener nih pake apk glints, baru minggu kemaren ajukan lamaran via Glints dan alhamdulillah besok sudah bisa langsung masuk kerja",2,terima kasih glints set bener nih pakai apk glints minggu kemaren aju lamar via glints alhamdulillah besok langsung masuk kerja
560,lowongan kerja sangat banyak... aplikasi terbaik dari yang lain. langsung bintang 5,2,lowong kerja aplikasi baik langsung bintang
561,nice,2,nice
562,"terimakasih glints saya merasa terbantu dengan apk ini, tetapi saya blm mendapatkan pekerjaan dari apk ini, jadi sementara 3 bintang dulu ya",2,terimakasih glints bantu apk kerja apk bintang ya
563,msih stengah,1,
564,"Kok gini ya Udah dicantumkan lowongan yg sesuai daerah domisili agar dekat tapi ttp aj yg kluar malah luar daerah domisili, jauh2 sekali sampe ke kluar kota.",0,ya cantum lowong sesuai daerah domisili ttp daerah domisili kota
565,"Aplikasi bagus dari segi lowongan, namun ketika sedang scrolling lowongan sering sekali keluar aplikasi secara tiba-tiba. Mohon diperbaiki dan dievaluasi kedepannya.",2,aplikasi bagus segi lowong scrolling lowong aplikasi tibatiba mohon baik evaluasi depan
566,saya tertarik,2,tarik
567,lumayan dari pada lumayun . nganggur enga kerja,2,lumayan lumayun nganggur enga kerja
568,ok,2,ok
569,"be cool.,😊",2,be cool
570,sangat membantu,2,bantu
571,Biar bintang yang bicara.semangat bekerja,2,biar bintang bicarasemangat
572,ingin tanya nih apa ini beragam jenis lowongan kerja di beberapa perusahaan terkemuka tanpa ada cullukulum vitae,1,nih agam jenis lowong kerja usaha muka cullukulum vitae
573,baik sekali,2,baik
574,Biasa,0,biasa
575,Bagus,2,bagus
576,good job,2,good job
577,mantap,2,mantap
578,"Maaf aku kasih 3, karna pilihan pekerjaan nya untuk orang yang sekolah nya tinggi semua gak ada yang setara SMA, atau SMK",0,maaf kasih pilih kerja nya orang sekolah nya tidak tara sma smk
579,semoga ada panggilan interviu,1,moga panggil interviu
580,ok,2,ok
581,mantap sangat lah oke.,2,mantap oke
582,baik,2,baik
583,"Thank youu glints.. dari sekian banyak nya aplikasi pencari kerja, hanya aplikasi glints yang cepat dapat tanggapan dari HRD. Mantapp.. tapi ada sedikit keluhan, kadang aplikasi nya keluar sendiri ngga tau kenapa:(( semoga bisa diperbaiki..",2,thank youu glints sekian nya aplikasi cari kerja aplikasi glints cepat tanggap hrd mantapp keluh kadang aplikasi nya tidak tau moga baik
584,Gtau cara kerja nya,0,gtau kerja nya
585,baik,2,baik
586,"Great job, sir",2,great job sir
587,"plusnya bisa komunikasi langsung sama HRD nya minusnya domisili kerjanya jauh jauh banget padahal udah di setting domisili gw sekarang, gw harap sih buat domisili kerjanya harus di perbaiki sesuai dengan domisili di pelamarnya.",0,plus komunikasi langsung hrd nya minus domisili kerja banget setting domisili harap sih domisili kerja baik sesuai domisili lamar
588,bagus,2,bagus
589,jos,2,jos
590,Bermanfaat,2,manfaat
591,Aplikasi bagus,2,aplikasi bagus
592,ok,2,ok
593,Sangat-sangat membantu sekali🙏,2,sangatsangat bantu
594,Semoga membantu para pencari kerja,1,moga bantu cari kerja
595,"semoga berkah untuk semua yang butuh kerjaan 🤲🤲🤲🙏🤝😊 Dan akan makin banyak berkah jika, bagaimana caranya agar bisa memuat lowongan kerja untuk usia 50 tahun keatas karena saat ini byk org ""YG TDK muda"" secara usia tapi sebenarnya masih energik dan kuat, tidak kalah dgn yg muda2, tapi beliau2 itu terbentur ""syarat -usia"" yg dipasang oleh calon pemberi kerja. Terimakasih 🙏🤲👍❤🤝",2,moga berkah butuh kerja berkah muat lowong kerja usia atas orang tidak muda usia energik kuat tidak kalah muda beliau bentur syarat usia pasang calon beri kerja terimakasih
596,bagus,2,bagus
597,belum dpt,0,
598,bagus,2,bagus
599,ok bgt,2,ok banget
600,bguss,2,bguss
601,bagus,2,bagus
602,"walopun blm membuahkan hasil,semoga sedekah bintang 5 ini bisa berkah buat apk nya",2,walopun buah hasilsemoga sedekah bintang berkah apk nya
603,bagus,2,bagus
604,sangat bagus,2,bagus
605,oke,2,oke
606,mantap,2,mantap
607,terima kasih Glints membantu saya mencari pekerjaan semoga para pencari kerja terbantu dg Glints sehingga bisa menerima saya sebagai karyawannya,2,terima kasih glints bantu cari kerja moga cari kerja bantu glints terima karyawannya
608,ok siap,2,ok
609,Yohanes Stmpl,1,yohanes stmpl
610,mantap,2,mantap
611,Best lah walau lokernya g banyak tapi respon,2,best lokernya tidak respon
612,belum dapat kerjaan,2,kerja
613,Bisa bisanya rating bagus wkwkw jangan buag harapan mu di platform ini karena percuma ga akan ada panggilan,0,bisa rating bagus wkwkw buag harap mu platform tidak panggil
614,Fiturnya bagus karena bisa berkomunikasi lgsg dgn pihak pemberi kerja hanya sayang galeri kerja masih kurang bahkan tdk ada untuk wilayah tertentu.,2,fiturnya bagus komunikasi langsung beri kerja sayang galeri kerja kurang tidak wilayah
615,"Aplikasi yang bagus sekali yg dimana pemberi kerja merespon sangat cepat, tidak hanya melempar lowongan tidak ada tanggapan seperti aplikasi sebelah. Piliha kerja pun beragam. Semoga management glints semakin ber inovasi dan selalu jaya..........",2,aplikasi bagus mana beri kerja merespon cepat tidak lempar lowong tidak tanggap aplikasi belah piliha kerja agam moga management glints ber inovasi jaya
616,Ini kenapa sih aplikasi perasaan sebelumnya ga kenapa napa tapi sekarang rada lag sih padahal ram hp saya gede dan aplikasi lain tidak kenapa napa,0,sih aplikasi asa tidak rada lag sih ram hp aplikasi tidak
617,"Setelah update kenapa jadi bug sama ngelag yaa? tolong cepat perbaiki dong, ganggu bgt",0,update bug ngelag yaa tolong cepat baik ganggu banget
618,Bagus,2,bagus
619,Keren,2,keren
620,semoga dpt kerjaan yg cocok,1,moga kerja cocok
621,Very good,2,very good
622,Oke punya,2,oke
623,👍,1,
624,bagus,2,bagus
625,sangat membatu,2,batu
626,Alkhamndulilah saya dapet pekerjaan yang layak semoga berkah selalu,2,alkhamndulilah dapet kerja layak moga berkah
627,bagus banget buat jobseeker. beberapa kali dapat panggilan interview setelah apply lewat apk ini. perihal diterima atau engga itu urusàn HRD masing2 perusahaan.,2,bagus banget cari kerja kali panggil interview apply apk perihal terima tidak urus n hrd usaha
628,good s,2,good s
629,bagus,2,bagus
630,Lumayan,2,lumayan
631,mantap,2,mantap
632,semoga sih terlaksana atau benar benar tepat bagi pencari kerja 🤲,1,moga sih laksana cari kerja
633,bagus,2,bagus
634,"option sudah di setting kota pencarian area jakarta selatan tapi yang muncul daerah seindonesia, hahahaah jadi buang waktu scrolling cari yang sesuai area jakarta selatan option pekerjaan Warehouse tapi muncul semua bidang pekerjaan,, jadi tambah buang waktu lagi scrolling bidang pekerjaan yang sesuai... to many waste time...",0,option setting kota cari area jakarta selatan muncul daerah indonesia hahahaah buang scrolling cari sesuai area jakarta selatan option kerja warehouse muncul bidang kerja buang scrolling bidang kerja sesuai many waste
635,"Aneh banyak banget jadi kandidat terpilih dan status nya sedang komunikasi,tapi tidak ada satupun yg menghubungi.",0,aneh banget kandidat pilih status nya komunikasitapi tidak satu hubung
636,mantap pol,2,mantap pol
637,"aplikasi terbaik untuk cari loker, terima kasih",2,aplikasi baik cari loker terima kasih
638,iya'in dah,0,iyain
639,membantu bngt,2,bantu bngt
640,sangat infotmatif,2,infotmatif
641,terimakasih,2,terimakasih
642,top,2,top
643,sangat membantu mencari pekerjaan,2,bantu cari kerja
644,"App nya bagus. Banyak job trsedia dan sesuai pilihan. Namun semua lamaranku di tolak, kadung seneng krn lanjut di WA tp msi di tolak jg.",2,app nya bagus job trsedia sesuai pilih lamar tolak kadung senang wa msi tolak
645,sangat bagus,2,bagus
646,terimakasih Glints,2,terimakasih glints
647,Tingkatin lagi lebih baik ya,0,tingkatin baik ya
648,update,1,update
649,Aplikasi ini sangat bagusan banget buat yang pengangguran,2,aplikasi bagus banget anggur
650,semoga bisa membantu untuk mendapatkan tambahan,1,moga bantu tambah
651,Aplikasi nya ngechat ga dibales ² padahal online Ngelamar kesana sini belum ada read atau hal apapun hadeuh gaakan pake aplikasi ini lagi deh ada ngartis semua HRD nya sudahlah ini aplikasi nya khusu untuk pekerja yang pengalaman 😒😒👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,0,aplikasi nya ngechat tidak dibales  online lamar kesana read apa hadeuh tidak pakai aplikasi deh ngartis hrd nya aplikasi nya khusu kerja alam
652,mantap,2,mantap
653,good,2,good
654,aplikasinya bagus untuk saya yang baru pertama kali mencoba aplikasi ini,2,aplikasi bagus kali coba aplikasi
655,jos,2,jos
656,baik,2,baik
657,"Filter pencarian pekerjaan membingungkan, sudah dibuat daerah tertentu malah yang keluar daerah lain",0,filter cari kerja bingung daerah daerah
658,oke,2,oke
659,"buat aplikasinya udah bagus yaa, mudah dipahami. di aplikasi ini aku sering dipanggil buat interview tapi males bgt kadang gaji yang ditulis ga sesuai sama yang dikasih nantinya, bukannya ga bersyukur atau gimana ya tapi itu termasuk nipu ga si?? kadang tulis 3jt - 4jt, tapi aslinya cuma 1jt - 2jt aja.",1,aplikasi bagus yaa mudah paham aplikasi panggil interview malas banget kadang gaji tulis tidak sesuai kasih tidak syukur ya nipu tidak si kadang tulis jt jt asli jt jt
660,ok bgt thx Glints,2,ok banget terimakasih glints
661,"semoga cepat dapat kerja,",1,moga cepat kerja
662,saya coba dulu,1,coba
663,tidak bisa buka fitur chat. padahal sudah pakai 2 hp berbeda.,0,tidak buka fitur chat pakai hp beda
664,ok,2,ok
665,"senang pake apk glint,sangat membantu berkat apk ini saya Uda kerja",2,senang pakai apk glintsangat bantu berkat apk kerja
666,ok,2,ok
667,"Luar biasa aplikasi Glints ini!! Baru sehari apply lgsg dapet panggilan interview, responsif bgt pihak recruternya💯💯",2,biasa aplikasi glints hari apply langsung dapet panggil interview responsif banget recruternya
668,trimakasih telah membantu kami pencari kerja untuk menemukan pekerjaan yang cocok untuk kami,2,trimakasih bantu cari kerja temu kerja cocok
669,verry good,2,verry good
670,sangat membantu semoga ada jalannya,2,bantu moga jalan
671,good very good,2,good very good
672,Apa bener bisa bekerja lewat aplikasi ini,1,bener aplikasi
673,Good jobs,2,good jobs
674,membantu sekali untuk pencari kerja❤,2,bantu cari kerja
675,Sudah keren ini aplikasi,2,keren aplikasi
676,"Gk guna, hrd gk pernah reply",0,tidak hrd tidak reply
677,bagus,2,bagus
678,"untuk daerah kab.semarang mungkin di perluas lagi untuk lowongan PT nya , karena rata2 adanya di Bekasi , tangerang",0,daerah kabsemarang luas lowong loker nya bekas tangerang
679,keren,2,keren
680,sangat baik,2,baik
681,Sangat Membantu dan mudah di Gunakan... Tidak Ada Iklan...,2,bantu mudah tidak iklan
682,"Awalnya ragu pakai aplikasi ini. Setelah 3 hari langsung dapat panggilan & keterima kerja. Bersyukur sekali, terimakasih untuk Glits & team work nya. Sukses selalu. 🙏",2,ragu pakai aplikasi langsung panggil terima kerja syukur terimakasih glits team nya sukses
683,Okk,2,okk
684,nice apk,2,nice apk
